formula,AIC,BIC
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + pain + (1|problem_id),102.429350,121.969765
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + pain + (1|participant_id) + (1|problem_id),-125.375616,-101.927118
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + pain + (1|participant_id) + (1|participant_id:TMS_Type),82.887386,106.335884
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + pain + (1|problem_id) + (1|problem_id:TMS_Type),104.403879,127.852377
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-126.958068,-99.601487
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-123.375616,-96.019035
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + pain + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-124.958068,-93.693404
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + physical_symptoms + (1|participant_id),81.120035,100.660450
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + physical_symptoms + (1|problem_id),101.133981,120.674395
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id),-124.821871,-101.373374
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|participant_id:TMS_Type),83.120035,106.568533
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + physical_symptoms + (1|problem_id) + (1|problem_id:TMS_Type),103.133981,126.582478
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-127.081126,-99.724546
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-122.821871,-95.465291
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + physical_symptoms + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-125.081126,-93.816463
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + discomfort + (1|participant_id),79.373191,98.913606
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + discomfort + (1|problem_id),102.682261,122.222676
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id),-125.815533,-102.367036
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + discomfort + (1|participant_id) + (1|participant_id:TMS_Type),81.373191,104.821689
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + discomfort + (1|problem_id) + (1|problem_id:TMS_Type),104.682261,128.130759
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type),-127.309273,-99.952693
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|problem_id:TMS_Type),-123.815533,-96.458953
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + discomfort + (1|participant_id) + (1|problem_id) + (1|participant_id:TMS_Type) + (1|problem_id:TMS_Type),-125.309273,-94.044610
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + sensations + (1|participant_id),78.670143,98.210558
sqrt(keypress_rate..keypresses.per.second.) ~ TMS_Type + sensations + (1|problem_id),102.568404,122.108819
