formula,AIC,BIC
log(response.time) ~ TMS_Type + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-516.901389,-484.042035
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),-529.186848,-489.755624
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type),-1037.607611,-998.176386
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type),-529.186848,-489.755624
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-796.325260,-756.894035
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1036.968081,-997.536857
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-528.916909,-489.485685
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-796.325260,-756.894035
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1037.119164,-997.687940
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1037.108718,-997.677493
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-796.325260,-756.894035
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1027.602272,-988.171048
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-224.635845,-185.204621
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-562.192072,-522.760847
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1027.602272,-988.171048
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.671346,-988.240121
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-514.901388,-475.470163
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1027.114943,-987.683718
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.093806,-987.662581
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-562.192072,-522.760847
log(response.time) ~ TMS_Type + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.207249,-987.776025
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1035.607612,-989.604516
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-527.186848,-481.183753
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-794.324901,-748.321806
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1035.607612,-989.604516
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.677409,-989.674313
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-794.325257,-748.322161
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1035.119162,-989.116066
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.108708,-989.105613
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-794.325259,-748.322164
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1035.213198,-989.210103
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1025.602272,-979.599177
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1025.671333,-979.668237
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-560.192072,-514.188977
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1025.671346,-979.668250
log(response.time) ~ TMS_Type + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1025.207248,-979.204153
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1033.607607,-981.032641
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.677408,-981.102442
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-792.325260,-739.750294
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.677409,-981.102443
log(response.time) ~ TMS_Type + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1033.213197,-980.638231
log(response.time) ~ TMS_Type + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1023.671345,-971.096379
log(response.time) ~ TMS_Type + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1031.677409,-972.530572
log(response.time) ~ session + (1|participant_id),-645.448522,-619.161039
log(response.time) ~ session + (1|shown_letter),984.100112,1010.387595
log(response.time) ~ session + (1|participant_id:shown_letter),-333.457651,-307.170168
log(response.time) ~ session + (1|participant_id:TMS_Type),-1033.331244,-1007.043761
log(response.time) ~ session + (1|shown_letter:TMS_Type),984.266818,1010.554301
log(response.time) ~ session + (1|participant_id:shown_letter:TMS_Type),-531.409595,-505.122112
log(response.time) ~ session + (1|participant_id) + (1|shown_letter),-643.832941,-610.973587
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter),-643.448522,-610.589169
log(response.time) ~ session + (1|participant_id) + (1|participant_id:TMS_Type),-1044.799774,-1011.940421
log(response.time) ~ session + (1|participant_id) + (1|shown_letter:TMS_Type),-644.275855,-611.416501
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter:TMS_Type),-840.027500,-807.168147
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter),-331.457651,-298.598297
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:TMS_Type),-1031.982449,-999.123095
log(response.time) ~ session + (1|shown_letter) + (1|shown_letter:TMS_Type),986.098692,1018.958045
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-529.409595,-496.550242
log(response.time) ~ session + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1031.331244,-998.471890
log(response.time) ~ session + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-331.541991,-298.682637
log(response.time) ~ session + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-590.811898,-557.952544
log(response.time) ~ session + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1031.496055,-998.636701
log(response.time) ~ session + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1031.470161,-998.610808
log(response.time) ~ session + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-529.409595,-496.550242
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter),-641.832941,-602.401717
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type),-1043.442377,-1004.011152
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type),-642.275855,-602.844630
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-838.027500,-798.596276
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1042.799728,-1003.368504
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-642.275855,-602.844630
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-838.027499,-798.596275
log(response.time) ~ session + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1042.957361,-1003.526137
log(response.time) ~ session + (1|participant_id) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1042.936460,-1003.505235
log(response.time) ~ session + (1|participant_id) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-838.027500,-798.596276
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1029.982449,-990.551224
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-329.541991,-290.110767
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-588.811898,-549.380673
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1029.982449,-990.551224
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1030.050364,-990.619140
log(response.time) ~ session + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-527.409595,-487.978371
log(response.time) ~ session + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1029.496062,-990.064837
log(response.time) ~ session + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1029.470161,-990.038937
log(response.time) ~ session + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-588.811898,-549.380673
log(response.time) ~ session + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1029.586670,-990.155445
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1041.442377,-995.439282
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-640.275855,-594.272759
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-836.027500,-790.024405
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1041.442377,-995.439282
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1041.509306,-995.506211
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-836.027500,-790.024405
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1040.957361,-994.954266
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1040.936460,-994.933364
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-836.027499,-790.024404
log(response.time) ~ session + (1|participant_id) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1041.047203,-995.044108
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1027.982448,-981.979353
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1028.050364,-982.047269
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-586.811898,-540.808803
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1028.050364,-982.047268
log(response.time) ~ session + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1027.586669,-981.583574
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1039.442377,-986.867411
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1039.509301,-986.934335
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-834.027451,-781.452485
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1039.509306,-986.934340
log(response.time) ~ session + (1|participant_id) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1039.047202,-986.472236
log(response.time) ~ session + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1026.050360,-973.475394
log(response.time) ~ session + (1|participant_id) + (1|shown_letter) + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type) + (1|participant_id:shown_letter:TMS_Type),-1037.509307,-978.362470
log(response.time) ~ problem_order + (1|participant_id),-573.302901,-547.015418
log(response.time) ~ problem_order + (1|shown_letter),1033.109589,1059.397072
log(response.time) ~ problem_order + (1|participant_id:shown_letter),-271.200057,-244.912574
log(response.time) ~ problem_order + (1|participant_id:TMS_Type),-1084.176362,-1057.888879
log(response.time) ~ problem_order + (1|shown_letter:TMS_Type),1033.082524,1059.370007
log(response.time) ~ problem_order + (1|participant_id:shown_letter:TMS_Type),-570.455506,-544.168023
log(response.time) ~ problem_order + (1|participant_id) + (1|shown_letter),-571.697308,-538.837954
log(response.time) ~ problem_order + (1|participant_id) + (1|participant_id:shown_letter),-571.302901,-538.443547
log(response.time) ~ problem_order + (1|participant_id) + (1|participant_id:TMS_Type),-1092.025852,-1059.166498
log(response.time) ~ problem_order + (1|participant_id) + (1|shown_letter:TMS_Type),-572.639948,-539.780594
log(response.time) ~ problem_order + (1|participant_id) + (1|participant_id:shown_letter:TMS_Type),-848.421691,-815.562337
log(response.time) ~ problem_order + (1|shown_letter) + (1|participant_id:shown_letter),-269.200057,-236.340703
log(response.time) ~ problem_order + (1|shown_letter) + (1|participant_id:TMS_Type),-1082.805272,-1049.945918
log(response.time) ~ problem_order + (1|shown_letter) + (1|shown_letter:TMS_Type),1035.019845,1067.879199
log(response.time) ~ problem_order + (1|shown_letter) + (1|participant_id:shown_letter:TMS_Type),-568.455506,-535.596152
log(response.time) ~ problem_order + (1|participant_id:shown_letter) + (1|participant_id:TMS_Type),-1082.184072,-1049.324719
log(response.time) ~ problem_order + (1|participant_id:shown_letter) + (1|shown_letter:TMS_Type),-269.516147,-236.656793
log(response.time) ~ problem_order + (1|participant_id:shown_letter) + (1|participant_id:shown_letter:TMS_Type),-615.116995,-582.257642
log(response.time) ~ problem_order + (1|participant_id:TMS_Type) + (1|shown_letter:TMS_Type),-1082.311338,-1049.451984
